id,商品名称,品牌,型号,功效,产地,适用发质,化妆品净含量
595871883459,Hair Recipe发之食谱无花果控油去油洗发水530ml+护发素280g套装 ,HAIR RECIPE ,,丰盈蓬松 ,中国 ,,洗发水530ml+润发乳280g 
533909610910,植观 樱花柔顺水润系列氨基酸洗发水 ,植观 ,,深层滋润头皮、清洁 清透润泽光泽亮丽 改善毛躁 ,中国 ,干性 ,251g 
551851164500,RYO 紫吕防脱固发滋养洗发水 ,RYO/吕 ,,深层滋养头皮、清洁 丰盈蓬松 去头屑 防脱 脆弱开叉护理 ,韩国 ,混合性 ,Ryoe 紫吕 防脱固发滋养洗发水 400毫升 
554661676880,日本Hair Recipe发之食谱奇异果丰盈无硅油洗发水滋养洗发露530ml ,HAIR RECIPE ,,深层滋养头皮、清洁 深层滋润头皮、清洁 丰盈蓬松 ,泰国 ,,530ml 
554548529964,L＇oreal/欧莱雅 透明质酸水润洗发露 ,L'OREAL /欧莱雅 ,,滋润 深层清洁 补水 ,中国 ,所有发质 ,700mL 
579273059194,8瓶 施华蔻多效修护洗发水护发素600ml套装香味持久shihualuo官网 ,Schwarzkopf/施华蔻 ,,,中国 ,,
578527418825,施华蔻8金纯盈润精油无硅油洗发水护发素套装女士蓬松丰盈防毛躁 ,Schwarzkopf/施华蔻 ,,丰盈蓬松 改善毛躁 滋润 深层清洁 ,中国 ,干性 ,其他/other 
549862789791,Schwarzkopf/施华蔻 油脂清洁洗发露 ,Schwarzkopf/施华蔻 ,,头皮控油 ,其他/other ,油性 ,1L 
574260034276,欧莱雅美发大金瓶垂顺洗护套装洗发水润发乳女440ml ,L'OREAL /欧莱雅 ,,,中国 ,,（洗发露440ml+润发乳440ml） 
42601249008,L'occitane/欧舒丹 清新马鞭草洗发露 ,L'occitane/欧舒丹 ,,深层滋润头皮、清洁 ,法国 ,,1L 500ml 其他/other 
536252694234,欧舒丹洗发水护发套装5合1草本强韧丰盈蓬松男女防落发洗发露法国 ,L'occitane/欧舒丹 ,,强韧防断发 ,法国 ,,500ml 300mL 700mL 
