id,商品名称,销售价格,月销量,评论量,商品人气值
595871883459,Hair Recipe发之食谱无花果控油去油洗发水530ml+护发素280g套装 ,118,361,67,458
533909610910,植观 樱花柔顺水润系列氨基酸洗发水 ,99,3086,15486,45914
551851164500,RYO 紫吕防脱固发滋养洗发水 ,58.8,3496,18676,38970
554661676880,日本Hair Recipe发之食谱奇异果丰盈无硅油洗发水滋养洗发露530ml ,89,1970,9448,34134
554548529964,L＇oreal/欧莱雅 透明质酸水润洗发露 ,89,743,2538,5126
579273059194,8瓶 施华蔻多效修护洗发水护发素600ml套装香味持久shihualuo官网 ,99,584,605,2640
578527418825,施华蔻8金纯盈润精油无硅油洗发水护发素套装女士蓬松丰盈防毛躁 ,69,569,1332,4426
549862789791,Schwarzkopf/施华蔻 油脂清洁洗发露 ,188,569,4026,7996
574260034276,欧莱雅美发大金瓶垂顺洗护套装洗发水润发乳女440ml ,189,594,2349,13696
42601249008,L'occitane/欧舒丹 清新马鞭草洗发露 ,625,1834,7099,22698
536252694234,欧舒丹洗发水护发套装5合1草本强韧丰盈蓬松男女防落发洗发露法国 ,520,793,6065,20334
